,account_length,voice_mail_plan,voice_mail_messages,day_mins,evening_mins,night_mins,international_mins,customer_service_calls,international_plan,day_calls,day_charge,evening_calls,evening_charge,night_calls,night_charge,international_calls,international_charge,total_charge,churn
14,62.0,0.0,0.0,120.7,307.2,203.0,13.1,3.5,0.0,70.0,20.52,76.0,26.11,99.0,9.14,6.0,3.54,59.31,0
15,161.0,0.0,0.0,325.45000000000005,317.8,160.6,5.4,3.5,0.0,67.0,55.33,97.0,27.01,128.0,7.23,9.0,1.46,87.63000000000001,1
16,85.0,1.0,27.0,196.4,280.9,89.3,13.8,1.0,0.0,139.0,33.39,90.0,23.88,75.0,4.02,4.0,3.73,65.02,0
17,93.0,0.0,0.0,190.7,218.2,129.6,8.1,3.0,0.0,114.0,32.42,111.0,18.55,121.0,5.83,3.0,2.19,58.99,0
18,76.0,1.0,33.0,189.7,212.8,165.7,10.0,1.0,0.0,66.0,32.25,65.0,18.09,108.0,7.46,5.0,2.7,60.5,0
19,73.0,0.0,0.0,224.4,159.5,192.8,13.0,1.0,0.0,90.0,38.15,88.0,13.56,74.0,8.68,2.0,3.51,63.9,0
20,147.0,0.0,0.0,155.1,239.7,208.8,10.6,0.0,0.0,117.0,26.37,93.0,20.37,133.0,9.4,4.0,2.86,59.0,0
21,77.0,0.0,0.0,62.4,169.9,209.6,5.7,3.5,0.0,89.0,10.61,121.0,14.44,64.0,9.43,6.0,1.54,36.02,1
22,130.0,0.0,0.0,183.0,72.9,181.8,9.5,0.0,0.0,112.0,31.11,99.0,6.2,78.0,8.18,10.5,2.57,48.06,0
23,111.0,0.0,0.0,110.4,137.3,189.6,7.7,2.0,0.0,103.0,18.77,102.0,11.67,105.0,8.53,6.0,2.08,41.05,0
24,132.0,0.0,0.0,81.1,245.2,237.0,10.3,0.0,0.0,86.0,13.79,72.0,20.84,115.0,10.67,2.0,2.78,48.08,0
25,174.0,0.0,0.0,124.3,277.1,250.7,15.5,3.0,0.0,76.0,21.13,112.0,23.55,115.0,11.28,5.0,4.19,60.15,0
26,57.0,1.0,39.0,213.0,191.1,182.7,9.5,0.0,0.0,115.0,36.21,112.0,16.24,115.0,8.22,3.0,2.57,63.24,0
27,54.0,0.0,0.0,134.3,155.5,102.1,14.7,3.0,0.0,73.0,22.83,100.0,13.22,68.0,4.59,4.0,3.97,44.61,0
28,20.0,0.0,0.0,190.0,258.2,181.5,6.3,0.0,0.0,109.0,32.3,84.0,21.95,102.0,8.17,6.0,1.7,64.12,0
29,49.0,0.0,0.0,119.3,215.1,178.7,11.1,1.0,0.0,117.0,20.28,109.0,18.28,90.0,8.04,1.0,3.0,49.6,0
30,142.0,0.0,0.0,84.8,136.7,250.5,14.2,2.0,0.0,95.0,14.42,63.0,11.62,148.0,11.27,6.0,3.83,41.14,0
31,75.0,0.0,0.0,226.1,201.5,246.2,10.3,1.0,0.0,105.0,38.44,107.0,17.13,98.0,11.08,5.0,2.78,69.43,0
32,172.0,0.0,0.0,212.0,63.54999999999997,293.3,12.6,3.0,0.0,121.0,36.04,115.0,5.4,78.0,13.2,10.0,3.4,55.29,0
33,12.0,0.0,0.0,249.6,252.4,280.2,11.8,1.0,0.0,118.0,42.43,119.0,21.45,90.0,12.61,3.0,3.19,79.68,1
34,57.0,1.0,25.0,176.8,195.0,213.5,8.3,0.0,0.0,94.0,30.06,75.0,16.58,116.0,9.61,4.0,2.24,58.49,0
35,72.0,1.0,37.0,220.0,217.3,152.8,14.7,3.0,0.0,80.0,37.4,102.0,18.47,71.0,6.88,6.0,3.97,66.72,0
36,36.0,1.0,30.0,146.3,162.5,129.3,14.5,0.0,0.0,128.0,24.87,80.0,13.81,109.0,5.82,6.0,3.92,48.42,0
37,78.0,0.0,0.0,130.8,223.7,227.8,10.0,1.0,0.0,64.0,22.24,116.0,19.01,108.0,10.25,5.0,2.7,54.2,0
38,136.0,1.0,33.0,203.9,187.6,101.7,10.5,3.0,0.0,106.0,34.66,99.0,15.95,107.0,4.58,6.0,2.84,58.03,0
39,149.0,0.0,0.0,140.4,271.8,188.3,11.1,1.0,0.0,94.0,23.87,92.0,23.1,108.0,8.47,9.0,3.0,58.44,0
40,98.0,0.0,0.0,126.3,166.8,187.8,9.4,3.0,0.0,102.0,21.47,85.0,14.18,135.0,8.45,2.0,2.54,46.64,0
41,135.0,1.0,41.0,173.1,203.9,122.2,14.6,0.0,0.0,85.0,29.43,107.0,17.33,78.0,5.5,10.5,3.94,56.2,1
42,34.0,0.0,0.0,124.8,282.2,311.5,10.0,2.0,0.0,82.0,21.22,98.0,23.99,78.0,14.02,4.0,2.7,61.93,0
43,160.0,0.0,0.0,85.8,165.3,178.5,9.2,3.0,0.0,77.0,14.59,110.0,14.05,92.0,8.03,4.0,2.48,39.15,0
44,64.0,0.0,0.0,154.0,225.8,265.3,3.5,1.0,0.0,67.0,26.18,118.0,19.19,86.0,11.94,3.0,0.95,58.26,0
45,59.0,1.0,28.0,120.9,213.0,163.1,8.5,2.0,0.0,97.0,20.55,92.0,18.11,116.0,7.34,5.0,2.3,48.3,0
46,65.0,0.0,0.0,211.3,162.6,134.7,13.2,3.0,0.0,120.0,35.92,122.0,13.82,118.0,6.06,5.0,3.56,59.36,0
47,142.0,0.0,0.0,187.0,134.6,242.2,7.4,2.0,0.0,133.0,31.79,74.0,11.44,127.0,10.9,5.0,2.0,56.13,0
48,119.0,0.0,0.0,159.1,231.3,143.2,8.8,3.5,0.0,114.0,27.05,117.0,19.66,91.0,6.44,3.0,2.38,55.53,1
49,97.0,1.0,24.0,133.2,217.2,70.6,11.0,1.0,0.0,135.0,22.64,58.0,18.46,79.0,3.18,3.0,2.97,47.25,0
50,52.0,0.0,0.0,191.9,269.8,236.8,7.8,3.0,0.0,108.0,32.62,96.0,22.93,87.0,10.66,5.0,2.11,68.32,0
51,60.0,0.0,0.0,220.6,211.1,249.0,6.8,1.0,0.0,57.0,37.5,115.0,17.94,129.0,11.21,3.0,1.84,68.49,0
52,10.0,0.0,0.0,186.1,190.2,282.8,11.4,2.0,0.0,112.0,31.64,66.0,16.17,57.0,12.73,6.0,3.08,63.62,0
53,96.0,0.0,0.0,160.2,267.5,228.5,9.3,2.0,0.0,117.0,27.23,67.0,22.74,68.0,10.28,5.0,2.51,62.76,0
54,87.0,0.0,0.0,151.0,219.7,203.9,9.7,3.5,0.0,83.0,25.67,116.0,18.67,127.0,9.18,3.0,2.62,56.14,1
55,81.0,0.0,0.0,175.5,249.3,270.2,10.2,1.0,0.0,67.0,29.84,85.0,21.19,98.0,12.16,3.0,2.75,65.94,0
56,141.0,0.0,0.0,126.9,180.0,140.8,8.0,1.0,0.0,98.0,21.57,62.0,15.3,128.0,6.34,2.0,2.16,45.37,0
57,121.0,1.0,30.0,198.4,75.3,181.2,5.8,3.0,0.0,129.0,33.73,77.0,6.4,77.0,8.15,3.0,1.57,49.85,1
58,68.0,0.0,0.0,148.8,246.5,129.8,12.1,3.0,0.0,70.0,25.3,154.5,20.95,103.0,5.84,3.0,3.27,55.36,0
59,125.0,0.0,0.0,229.3,177.4,189.3,12.0,1.0,0.0,103.0,38.98,126.0,15.08,95.0,8.52,8.0,3.24,65.82,0
60,174.0,0.0,0.0,192.1,169.9,166.6,11.4,1.0,0.0,97.0,32.66,94.0,14.44,54.0,7.5,4.0,3.08,57.68,0
61,116.0,1.0,34.0,268.6,178.2,166.3,11.6,2.0,0.0,83.0,45.66,142.0,15.15,106.0,7.48,3.0,3.13,71.42,0
62,74.0,1.0,33.0,193.7,246.1,138.0,14.6,2.0,0.0,91.0,32.93,96.0,20.92,92.0,6.21,3.0,3.94,64.0,0
63,149.0,1.0,28.0,180.7,187.8,265.5,12.6,3.0,0.0,92.0,30.72,64.0,15.96,53.0,11.95,3.0,3.4,62.03,0
64,38.0,0.0,0.0,131.2,162.9,159.0,8.2,2.0,0.0,98.0,22.3,97.0,13.85,106.0,7.15,6.0,2.21,45.51,0
65,40.0,1.0,41.0,148.1,169.5,214.1,6.2,2.0,0.0,74.0,25.18,88.0,14.41,102.0,9.63,5.0,1.67,50.89,0
66,43.0,0.0,0.0,251.5,212.8,157.8,9.3,0.0,0.0,105.0,42.76,104.0,18.09,67.0,7.1,4.0,2.51,70.46,0
67,113.0,0.0,0.0,125.2,206.4,129.3,8.3,0.0,0.0,93.0,21.28,119.0,17.54,139.0,5.82,8.0,2.24,46.88,0
68,126.0,0.0,0.0,211.6,216.9,153.5,7.8,1.0,0.0,70.0,35.97,80.0,18.44,60.0,6.91,1.0,2.11,63.43,0
69,150.0,0.0,0.0,178.9,169.1,148.6,13.8,3.5,0.0,101.0,30.41,110.0,14.37,100.0,6.69,3.0,3.73,55.2,1
70,138.0,0.0,0.0,241.8,170.5,295.3,11.8,3.0,0.0,93.0,41.11,83.0,14.49,104.0,13.29,7.0,3.19,72.08,0
71,162.0,1.0,46.0,224.9,188.2,254.6,12.1,0.0,0.0,97.0,38.23,84.0,16.0,61.0,11.46,2.0,3.27,68.96,0
72,147.0,0.0,0.0,248.6,148.9,172.5,8.0,3.0,0.0,83.0,42.26,85.0,12.66,109.0,7.76,4.0,2.16,64.84,0
73,90.0,0.0,0.0,203.4,226.7,152.4,7.3,1.0,0.0,146.0,34.58,117.0,19.27,105.0,6.86,4.0,1.97,62.68,0
74,85.0,0.0,0.0,235.8,157.2,188.2,12.0,0.0,0.0,109.0,40.09,94.0,13.36,99.0,8.47,3.0,3.24,65.16,0
75,50.0,0.0,0.0,157.1,223.3,181.4,6.1,1.0,0.0,90.0,26.71,72.0,18.98,111.0,8.16,2.0,1.65,55.5,0
76,82.0,0.0,0.0,300.3,181.0,270.1,11.7,0.0,0.0,109.0,51.05,100.0,15.39,73.0,12.15,4.0,3.16,81.75,1
77,144.0,0.0,0.0,61.6,77.1,173.0,8.2,3.5,0.0,117.0,10.47,85.0,6.55,99.0,7.79,7.0,2.21,31.23,1
78,46.0,0.0,0.0,214.1,164.4,177.5,8.2,2.0,0.0,72.0,36.4,104.0,13.97,113.0,7.99,3.0,2.21,60.57,0
79,70.0,0.0,0.0,170.2,155.2,228.6,15.0,1.0,0.0,98.0,28.93,102.0,13.19,76.0,10.29,2.0,4.05,56.46,0
80,144.0,0.0,0.0,201.1,303.5,224.0,13.2,1.0,0.0,99.0,34.19,74.0,25.8,119.0,10.08,2.0,3.56,73.63,0
81,116.0,0.0,0.0,215.4,204.8,278.5,12.6,3.0,0.0,104.0,36.62,79.0,17.41,109.0,12.53,5.0,3.4,69.96,0
82,55.0,1.0,25.0,165.6,136.1,175.7,11.0,3.0,0.0,123.0,28.15,95.0,11.57,90.0,7.91,2.0,2.97,50.6,0
83,70.0,1.0,24.0,249.5,259.7,222.7,9.8,1.0,0.0,101.0,42.42,98.0,22.07,68.0,10.02,4.0,2.65,77.16,0
84,106.0,0.0,0.0,210.6,249.2,191.4,12.4,2.0,0.0,96.0,35.8,85.0,21.18,88.0,8.61,1.0,3.35,68.94,1
85,128.0,1.0,29.0,179.3,225.9,323.0,8.6,0.0,0.0,104.0,30.48,86.0,19.2,78.0,14.54,7.0,2.32,66.54,0
86,94.0,0.0,0.0,157.9,155.0,189.6,8.0,3.5,0.0,105.0,26.84,101.0,13.18,84.0,8.53,5.0,2.16,50.71,1
87,111.0,0.0,0.0,214.3,208.5,182.4,12.0,1.0,0.0,118.0,36.43,76.0,17.72,98.0,8.21,2.0,3.24,65.6,0
88,74.0,1.0,35.0,154.1,123.4,202.1,10.9,2.0,0.0,104.0,26.2,84.0,10.49,57.0,9.09,9.0,2.94,48.72,0
89,128.0,0.0,0.0,237.9,247.6,208.9,13.9,1.0,0.0,125.0,40.44,93.0,21.05,68.0,9.4,4.0,3.75,74.64,1
90,82.0,0.0,0.0,143.9,194.9,109.6,11.1,1.0,0.0,61.0,24.46,105.0,16.57,94.0,4.93,2.0,3.0,48.96,0
91,155.0,0.0,0.0,203.4,190.9,196.0,8.9,0.0,0.0,100.0,34.58,104.0,16.23,119.0,8.82,4.0,2.4,62.03,1
92,80.0,0.0,0.0,124.3,173.0,253.2,7.9,1.0,0.0,100.0,21.13,107.0,14.71,62.0,11.39,9.0,2.13,49.36,0
93,78.0,0.0,0.0,252.9,178.4,263.9,9.5,3.0,0.0,93.0,42.99,112.0,15.16,105.0,11.88,7.0,2.57,72.6,0
94,90.0,0.0,0.0,179.1,190.6,127.7,10.6,3.0,0.0,71.0,30.45,81.0,16.2,91.0,5.75,7.0,2.86,55.26,0
95,104.0,0.0,0.0,278.4,81.0,163.2,9.8,1.0,0.0,106.0,47.33,113.0,6.89,137.0,7.34,5.0,2.65,64.21,0
96,73.0,0.0,0.0,160.1,213.3,174.1,13.0,0.0,0.0,110.0,27.22,72.0,18.13,72.0,7.83,4.0,3.51,56.69,0
97,99.0,0.0,0.0,198.2,207.3,190.9,8.7,3.5,0.0,87.0,33.69,76.0,17.62,113.0,8.59,3.0,2.35,62.25,0
98,120.0,0.0,0.0,212.1,209.4,167.2,5.3,1.0,0.0,131.0,36.06,104.0,17.8,96.0,7.52,5.0,1.43,62.81,1
99,77.0,0.0,0.0,251.8,205.7,275.2,9.8,2.0,0.0,72.0,42.81,126.0,17.48,109.0,12.38,7.0,2.65,75.32,1
100,98.0,1.0,21.0,161.2,252.2,160.2,4.4,3.5,0.0,114.0,27.4,83.0,21.44,92.0,7.21,8.0,1.19,57.24,0
101,108.0,0.0,0.0,178.3,189.0,129.1,14.6,0.0,0.0,137.0,30.31,76.0,16.07,102.0,5.81,5.0,3.94,56.13,0
102,135.0,0.0,0.0,151.7,119.0,180.0,10.5,0.0,0.0,82.0,25.79,105.0,10.12,100.0,8.1,6.0,2.84,46.85,0
103,95.0,0.0,0.0,135.0,183.6,245.3,12.5,1.0,0.0,99.0,22.95,106.0,15.61,102.0,11.04,9.0,3.38,52.98,0
104,122.0,0.0,0.0,170.5,173.7,248.6,11.3,1.0,0.0,94.0,28.99,109.0,14.76,75.0,11.19,2.0,3.05,57.99,0
105,95.0,0.0,0.0,238.1,187.2,190.0,11.8,3.5,0.0,65.0,40.48,98.0,15.91,115.0,8.55,4.0,3.19,68.13,0
106,36.0,1.0,29.0,281.4,202.2,187.2,9.0,2.0,0.0,102.0,47.84,76.0,17.19,113.0,8.42,6.0,2.43,75.88,0
107,93.0,1.0,21.0,117.9,164.5,217.0,9.8,1.0,0.0,131.0,20.04,115.0,13.98,86.0,9.76,3.0,2.65,46.43,0
108,141.0,1.0,32.0,148.6,131.1,219.4,10.1,1.0,0.0,91.0,25.26,97.0,11.14,142.0,9.87,1.0,2.73,49.0,0
109,157.0,0.0,0.0,229.8,147.9,241.4,9.6,3.0,0.0,90.0,39.07,121.0,12.57,108.0,10.86,7.0,2.59,65.09,0
110,120.0,0.0,0.0,165.0,317.2,119.2,8.3,1.0,0.0,100.0,28.05,83.0,26.96,86.0,5.36,8.0,2.24,62.61,0
111,103.0,0.0,0.0,185.0,223.3,222.8,12.6,2.0,0.0,117.0,31.45,94.0,18.98,91.0,10.03,2.0,3.4,63.86,0
112,98.0,0.0,0.0,161.0,190.9,227.7,12.1,3.5,0.0,117.0,27.37,113.0,16.23,113.0,10.25,4.0,3.27,57.12,0
113,125.0,0.0,0.0,126.7,206.0,247.8,13.3,1.0,0.0,108.0,21.54,90.0,17.51,114.0,11.15,7.0,3.59,53.79,0
114,63.0,0.0,0.0,58.9,169.6,211.4,9.4,1.0,0.0,125.0,10.01,59.0,14.42,88.0,9.51,3.0,2.54,36.48,0
115,36.0,1.0,42.0,196.8,254.9,138.3,17.5,0.0,0.0,89.0,33.46,122.0,21.67,126.0,6.22,6.0,4.7250000000000005,66.75,1
116,64.0,0.0,0.0,162.6,152.3,64.54999999999998,14.2,1.0,0.0,83.0,27.64,109.0,12.95,122.0,2.914999999999999,3.0,3.83,47.01,0
117,74.0,0.0,0.0,282.5,219.9,170.0,9.4,1.0,0.0,114.0,48.03,48.0,18.69,115.0,7.65,4.0,2.54,76.91,1
118,112.0,1.0,36.0,113.7,157.5,177.6,10.0,2.0,0.0,117.0,19.33,82.0,13.39,118.0,7.99,3.0,2.7,43.41,0
119,97.0,0.0,0.0,239.8,214.8,143.3,8.7,2.0,0.0,125.0,40.77,111.0,18.26,81.0,6.45,5.0,2.35,67.83,0
120,46.0,0.0,0.0,210.2,227.3,200.1,13.1,1.0,0.0,92.0,35.73,77.0,19.32,116.0,9.0,7.0,3.54,67.59,0
121,41.0,1.0,22.0,213.8,141.8,142.2,7.2,0.0,0.0,102.0,36.35,86.0,12.05,123.0,6.4,3.0,1.94,56.74,0
122,121.0,0.0,0.0,190.7,183.5,220.8,9.8,3.0,0.0,103.0,32.42,117.0,15.6,103.0,9.94,4.0,2.65,60.61,0
123,193.0,0.0,0.0,170.9,132.3,112.9,11.6,1.0,0.0,124.0,29.05,95.0,11.25,89.0,5.08,3.0,3.13,48.51,0
124,130.0,0.0,0.0,154.2,110.2,227.4,9.2,2.0,0.0,119.0,26.21,98.0,9.37,117.0,10.23,5.0,2.48,48.29,0
125,85.0,0.0,0.0,201.4,229.4,252.5,12.0,1.0,0.0,52.0,34.24,104.0,19.5,106.0,11.36,3.0,3.24,68.34,0
126,162.0,0.0,0.0,70.7,157.5,154.8,9.1,3.5,0.0,108.0,12.02,87.0,13.39,82.0,6.97,3.0,2.46,34.84,1
127,61.0,1.0,27.0,187.5,146.6,225.7,6.4,3.5,0.0,124.0,31.88,103.0,12.46,129.0,10.16,6.0,1.73,56.23,1
128,92.0,0.0,0.0,91.7,193.7,175.0,9.2,2.0,0.0,90.0,15.59,123.0,16.46,86.0,7.88,4.0,2.48,42.41,0
129,131.0,1.0,36.0,214.2,161.7,264.7,9.5,3.0,0.0,115.0,36.41,117.0,13.74,102.0,11.91,4.0,2.57,64.63,0
130,90.0,0.0,0.0,145.5,217.7,146.9,10.9,3.0,0.0,92.0,24.74,114.0,18.5,123.0,6.61,2.0,2.94,52.79,0
131,75.0,0.0,0.0,166.3,158.2,256.7,6.1,1.0,0.0,125.0,28.27,86.0,13.45,80.0,11.55,5.0,1.65,54.92,0
132,78.0,0.0,0.0,231.0,230.4,261.4,9.5,1.0,0.0,115.0,39.27,140.0,19.58,120.0,11.76,3.0,2.57,73.18,0
133,82.0,0.0,0.0,200.3,201.2,206.1,7.1,3.5,0.0,96.0,34.05,102.0,17.1,60.0,9.27,1.0,1.92,62.34,0
134,163.0,0.0,0.0,197.0,202.6,206.4,9.1,1.0,0.0,109.0,33.49,128.0,17.22,80.0,9.29,10.0,2.46,62.46,0
135,91.0,0.0,0.0,129.9,173.3,247.2,11.2,3.0,0.0,112.0,22.08,83.0,14.73,130.0,11.12,3.0,3.02,50.95,0
136,75.0,1.0,21.0,175.8,217.5,237.5,5.3,3.5,0.0,97.0,29.89,106.0,18.49,134.0,10.69,4.0,1.43,60.5,0
137,91.0,0.0,0.0,203.1,210.1,195.6,12.0,3.0,0.0,106.0,34.53,113.0,17.86,129.0,8.8,3.0,3.24,64.43,0
138,127.0,1.0,36.0,183.2,126.8,263.3,11.2,1.0,0.0,117.0,31.14,76.0,10.78,71.0,11.85,8.0,3.02,56.79,0
139,113.0,1.0,23.0,205.0,152.0,158.6,10.2,2.0,0.0,101.0,34.85,60.0,12.92,59.0,7.14,5.0,2.75,57.66,0
140,110.0,0.0,0.0,148.5,276.4,193.6,12.4,1.0,0.0,115.0,25.25,84.0,23.49,112.0,8.71,3.0,3.35,60.8,0
141,120.0,1.0,39.0,200.3,220.4,253.8,10.5,0.0,0.0,68.0,34.05,97.0,18.73,116.0,11.42,4.0,2.84,67.04,0
142,157.0,1.0,28.0,192.6,195.5,109.7,6.8,3.0,0.0,107.0,32.74,74.0,16.62,139.0,4.94,5.0,1.84,56.14,0
143,103.0,0.0,0.0,246.5,195.5,200.5,11.7,1.0,0.0,47.0,41.91,84.0,16.62,96.0,9.02,4.0,3.16,70.71,0
144,117.0,0.0,0.0,167.1,177.5,249.4,14.1,2.0,0.0,86.0,28.41,87.0,15.09,132.0,11.22,7.0,3.81,58.53,1
145,140.0,0.0,0.0,231.9,160.1,110.4,14.3,3.0,0.0,101.0,39.42,94.0,13.61,98.0,4.97,6.0,3.86,61.86,0
146,127.0,0.0,0.0,146.7,203.5,203.4,13.7,1.0,0.0,91.0,24.94,78.0,17.3,110.0,9.15,3.0,3.7,55.09,0
147,83.0,0.0,0.0,271.5,216.3,121.1,11.7,1.0,0.0,87.0,46.16,126.0,18.39,105.0,5.45,4.0,3.16,73.16,0
148,121.0,0.0,0.0,181.5,218.4,161.6,8.5,1.0,0.0,121.0,30.86,98.0,18.56,103.0,7.27,5.0,2.3,58.99,0
149,145.0,1.0,43.0,257.7,162.1,286.9,11.1,2.0,0.0,97.0,43.81,95.0,13.78,86.0,12.91,4.0,3.0,73.5,0
150,113.0,0.0,0.0,193.8,221.4,172.3,10.6,1.0,0.0,99.0,32.95,125.0,18.82,67.0,7.75,6.0,2.86,62.38,0
151,117.0,0.0,0.0,102.8,206.7,299.0,10.1,1.0,0.0,119.0,17.48,91.0,17.57,105.0,13.46,7.0,2.73,51.24,0
152,65.0,0.0,0.0,187.9,157.6,227.3,7.5,1.0,0.0,116.0,31.94,117.0,13.4,86.0,10.23,6.0,2.03,57.6,0
153,56.0,0.0,0.0,226.0,248.5,140.5,6.9,1.0,0.0,112.0,38.42,118.0,21.12,142.0,6.32,10.5,1.86,67.72,0
154,96.0,0.0,0.0,260.4,146.0,269.5,11.5,3.5,0.0,115.0,44.27,46.5,12.41,87.0,12.13,4.0,3.11,71.92,0
155,151.0,0.0,0.0,178.7,292.1,265.9,9.8,0.0,0.0,116.0,30.38,138.0,24.83,101.0,11.97,4.0,2.65,69.83,0
156,83.0,0.0,0.0,325.45000000000005,227.4,153.9,15.8,0.0,0.0,120.0,55.33,116.0,19.33,114.0,6.93,7.0,4.27,87.63000000000001,1
157,139.0,1.0,23.0,157.6,247.0,259.2,13.7,0.0,0.0,129.0,26.79,96.0,21.0,112.0,11.66,2.0,3.7,63.15,0
158,6.0,0.0,0.0,183.6,256.7,178.6,10.2,1.0,0.0,117.0,31.21,72.0,21.82,79.0,8.04,2.0,2.75,63.82,0
159,115.0,1.0,24.0,142.1,183.4,164.8,9.6,1.0,0.0,124.0,24.16,129.0,15.59,114.0,7.42,4.0,2.59,49.76,0
160,87.0,0.0,0.0,136.3,172.2,137.5,7.1,0.0,0.0,97.0,23.17,108.0,14.64,101.0,6.19,5.0,1.92,45.92,0
161,141.0,0.0,0.0,217.1,241.5,253.5,12.0,0.0,0.0,110.0,36.91,111.0,20.53,103.0,11.41,6.0,3.24,72.09,0
162,141.0,1.0,36.0,187.5,241.4,229.5,10.5,3.0,0.0,99.0,31.88,116.0,20.52,105.0,10.33,5.0,2.84,65.57,0
163,62.0,0.0,0.0,98.9,135.4,236.6,12.2,1.0,0.0,103.0,16.81,122.0,11.51,82.0,10.65,1.0,3.29,42.26,0
164,146.0,0.0,0.0,206.3,148.6,167.2,6.1,1.0,0.0,151.0,35.07,89.0,12.63,91.0,7.52,3.0,1.65,56.87,0
165,92.0,1.0,33.0,243.1,213.8,228.7,12.1,2.0,0.0,92.0,41.33,92.0,18.17,104.0,10.29,2.0,3.27,73.06,0
166,185.0,1.0,31.0,189.8,163.3,264.8,7.5,1.0,0.0,126.0,32.27,133.0,13.88,126.0,11.92,3.0,2.03,60.1,0
167,148.0,0.0,0.0,202.0,243.2,261.3,10.9,1.0,0.0,102.0,34.34,128.0,20.67,90.0,11.76,3.0,2.94,69.71,0
168,94.0,1.0,38.0,170.1,193.3,105.9,12.8,1.0,0.0,124.0,28.92,116.0,16.43,73.0,4.77,4.0,3.46,53.58,0
169,32.0,0.0,0.0,230.9,187.4,154.0,6.3,0.0,0.0,87.0,39.25,90.0,15.93,53.0,6.93,2.0,1.7,63.81,0
170,68.0,0.0,0.0,237.1,223.5,97.4,13.2,1.0,0.0,105.0,40.31,105.0,19.0,79.0,4.38,2.0,3.56,67.25,0
171,64.0,1.0,27.0,182.1,169.7,164.7,10.6,2.0,0.0,91.0,30.96,98.0,14.42,86.0,7.41,5.0,2.86,55.65,0
172,25.0,0.0,0.0,119.3,211.5,268.9,10.5,3.0,0.0,87.0,20.28,101.0,17.98,86.0,12.1,4.0,2.84,53.2,0
173,65.0,0.0,0.0,116.8,178.9,182.4,14.1,1.0,0.0,87.0,19.86,93.0,15.21,150.0,8.21,2.0,3.81,47.09,0
174,179.0,0.0,0.0,219.2,149.4,244.7,6.1,0.0,0.0,92.0,37.26,125.0,12.7,104.0,11.01,5.0,1.65,62.62,0
175,94.0,0.0,0.0,252.6,169.0,170.9,11.1,2.0,0.0,104.0,42.94,125.0,14.37,106.0,7.69,7.0,3.0,68.0,0
176,62.0,0.0,0.0,147.1,190.4,195.2,12.2,0.0,0.0,91.0,25.01,107.0,16.18,115.0,8.78,3.0,3.29,53.26,0
177,127.0,0.0,0.0,202.1,229.4,195.2,11.5,2.0,0.0,103.0,34.36,86.0,19.5,113.0,8.78,3.0,3.11,65.75,0
178,116.0,0.0,0.0,173.5,194.1,208.0,16.2,3.0,0.0,93.0,29.5,76.0,16.5,112.0,9.36,10.0,4.37,59.73,0
179,70.0,0.0,0.0,232.1,292.3,201.2,3.1000000000000005,3.0,0.0,122.0,39.46,112.0,24.85,112.0,9.05,0.0,0.8449999999999995,73.36,0
